language_code,bad_word
ar,احتلام
ar,اغتصاب
ar,بز
ar,بزاز
ar,بظر
ar,بيضان
ar,تمص
ar,ثدي
ar,جماع
ar,حلمة
ar,خنثي
ar,خول
ar,زب
ar,سحاق
ar,سحاقية
ar,سكس
ar,شاذ
ar,شرج
ar,شرموطة
ar,شهوة
ar,طيز
ar,عاهرة
ar,عرص
ar,فرج
ar,قحبة
ar,قضيب
ar,كس
ar,لبوة
ar,لحس
ar,لعق
ar,لواط
ar,لوطي
ar,مبادل
ar,متناك
ar,متناكة
ar,مص
ar,مفلقسة
ar,نيك
cs,bordel
cs,buzna
cs,chcanky
cs,chuj
cs,debil
cs,do piče
cs,do prdele
cs,dršťka
cs,držka
cs,flundra
cs,hajzl
cs,hovno
cs,jebat
cs,kokot
cs,kokotina
cs,koňomrd
cs,kunda
cs,kurva
cs,mamrd
cs,mrdat
cs,mrdka
cs,mrdník
cs,oslošoust
cs,pizda
cs,piča
cs,prcat
cs,prdel
cs,prdelka
cs,píchat
cs,píčus
cs,sračka
cs,srát
cs,vypíčenec
cs,zkurvit
cs,zkurvysyn
cs,zmrd
cs,čumět
cs,čurák
cs,šoustat
cs,šulin
cs,žrát
da,anus
da,bøsserøv
da,cock
da,fisse
da,fissehår
da,fuck
da,hestepik
da,kussekryller
da,lort
da,luder
da,pik
da,pikhår
da,pikslugeri
da,piksutteri
da,pis
da,røv
da,røvhul
da,røvskæg
da,røvspræke
da,shit
de,MILF
de,analritter
de,arsch
de,arschficker
de,arschgeige
de,arschgesicht
de,arschkriecher
de,arschlecker
de,arschloch
de,bauerntrampel
de,bimbo
de,bonze
de,bratze
de,bumsen
de,depp
de,dildo
de,drecksack
de,drecksau
de,dummkopf
de,dumpfbacke
de,dödel
de,fick
de,ficken
de,flittchen
de,fotze
de,fratze
de,hackfresse
de,hornochse
de,hure
de,hurensohn
de,idiot
de,ische
de,kackbratze
de,kacke
de,kacken
de,kackwurst
de,kampflesbe
de,kanake
de,kimme
de,kotnascher
de,luder
de,lümmel
de,morgenlatte
de,mufti
de,muschi
de,möpse
de,möse
de,nackt
de,neger
de,nigger
de,nippel
de,notgeil
de,nutte
de,onanieren
de,orgasmus
de,penis
de,penner
de,pimmel
de,pimpern
de,pinkeln
de,pissen
de,pisser
de,pissnelke
de,popel
de,poppen
de,porno
de,prolet
de,reudig
de,rosette
de,schabracke
de,scheiss
de,scheisser
de,scheiße
de,schiesser
de,schisser
de,schlampe
de,schnackeln
de,schnepfe
de,schwanzlutscher
de,schwuchtel
de,tittchen
de,titte
de,titten
de,transe
de,trottel
de,tussi
de,tölpel
de,verpiss
de,vollidiot
de,vollpfosten
de,vögeln
de,weichei
de,wichse
de,wichsen
de,wichser
en,2 girls 1 cup
en,2g1c
en,4r5e
en,5h1t
en,5hit
en,God
en,a55
en,a_s_s
en,acrotomophilia
en,alabama hot pocket
en,alaskan pipeline
en,anal
en,anilingus
en,anus
en,apeshit
en,ar5e
en,arrse
en,arse
en,arsehole
en,ass
en,ass-fucker
en,asses
en,assfucker
en,assfukka
en,asshole
en,assholes
en,assmunch
en,asswhole
en,auto erotic
en,autoerotic
en,b!tch
en,b00bs
en,b17ch
en,b1tch
en,babeland
en,baby batter
en,baby juice
en,ball gag
en,ball gravy
en,ball kicking
en,ball licking
en,ball sack
en,ball sucking
en,ballbag
en,balls
en,ballsack
en,bangbros
en,bangbus
en,bareback
en,barely legal
en,barenaked
en,bastard
en,bastardo
en,bastinado
en,bbw
en,bdsm
en,beaner
en,beaners
en,beastial
en,beastiality
en,beaver
en,beaver cleaver
en,beaver lips
en,beef curtain
en,bellend
en,bestial
en,bestiality
en,bi+ch
en,biatch
en,big black
en,big breasts
en,big knockers
en,big tits
en,bimbos
en,bint
en,birdlock
en,bitch
en,bitcher
en,bitchers
en,bitches
en,bitchin
en,bitching
en,black cock
en,blonde action
en,blonde on blonde action
en,bloodclaat
en,bloody
en,blow job
en,blow your load
en,blowjob
en,blowjobs
en,blue waffle
en,blumpkin
en,boiolas
en,bollock
en,bollocks
en,bollok
en,bondage
en,boner
en,boob
en,boobs
en,booobs
en,boooobs
en,booooobs
en,booooooobs
en,booty call
en,breasts
en,brown showers
en,brunette action
en,buceta
en,bugger
en,bukkake
en,bulldyke
en,bullet vibe
en,bullshit
en,bum
en,bung hole
en,bunghole
en,bunny fucker
en,busty
en,butt
en,buttcheeks
en,butthole
en,buttmuch
en,buttplug
en,c0ck
en,c0cksucker
en,camel toe
en,camgirl
en,camslut
en,camwhore
en,carpet muncher
en,carpetmuncher
en,cawk
en,chink
en,chink eyes
en,chocolate rosebuds
en,cialis
en,cipa
en,circlejerk
en,cl1t
en,cleveland steamer
en,clit
en,clitoris
en,clits
en,clover clamps
en,clunge
en,clusterfuck
en,cnut
en,cock
en,cock-sucker
en,cockface
en,cockhead
en,cockmunch
en,cockmuncher
en,cocks
en,cocksuck
en,cocksucked
en,cocksucker
en,cocksucking
en,cocksucks
en,cocksuka
en,cocksukka
en,cok
en,cokmuncher
en,coksucka
en,coon
en,coons
en,coprolagnia
en,coprophilia
en,cornhole
en,cox
en,crap
en,creampie
en,cum
en,cummer
en,cumming
en,cums
en,cumshot
en,cumshots
en,cunilingus
en,cunillingus
en,cunnilingus
en,cunt
en,cuntlick
en,cuntlicker
en,cuntlicking
en,cunts
en,cyalis
en,cyberfuc
en,cyberfuck
en,cyberfucked
en,cyberfucker
en,cyberfuckers
en,cyberfucking
en,d1ck
en,damn
en,darkie
en,date rape
en,daterape
en,deep throat
en,deepthroat
en,dendrophilia
en,dick
en,dickhead
en,dildo
en,dildos
en,dingleberries
en,dingleberry
en,dink
en,dinks
en,dirsa
en,dirty pillows
en,dirty sanchez
en,dlck
en,dog style
en,dog-fucker
en,doggie style
en,doggiestyle
en,doggin
en,dogging
en,doggy style
en,doggystyle
en,dolcett
en,domination
en,dominatrix
en,dommes
en,donkey punch
en,donkeyribber
en,doosh
en,double dong
en,double penetration
en,dp action
en,dry hump
en,duche
en,dvda
en,dyke
en,eat my ass
en,ecchi
en,ejaculate
en,ejaculated
en,ejaculates
en,ejaculating
en,ejaculatings
en,ejaculation
en,ejakulate
en,erotic
en,erotism
en,escort
en,eunuch
en,f u c k
en,f u c k e r
en,f4nny
en,f_u_c_k
en,fag
en,fagging
en,faggitt
en,faggot
en,faggs
en,fagot
en,fagots
en,fags
en,fanny
en,fannyflaps
en,fannyfucker
en,fanyy
en,fatass
en,fcuk
en,fcuker
en,fcuking
en,fecal
en,feck
en,fecker
en,felch
en,felching
en,fellate
en,fellatio
en,feltch
en,female squirting
en,femdom
en,figging
en,fingerbang
en,fingerfuck
en,fingerfucked
en,fingerfucker
en,fingerfuckers
en,fingerfucking
en,fingerfucks
en,fingering
en,fistfuck
en,fistfucked
en,fistfucker
en,fistfuckers
en,fistfucking
en,fistfuckings
en,fistfucks
en,fisting
en,flange
en,flap
en,fook
en,fooker
en,foot fetish
en,footjob
en,frotting
en,fuck
en,fuck buttons
en,fucka
en,fucked
en,fucker
en,fuckers
en,fuckhead
en,fuckheads
en,fuckin
en,fucking
en,fuckings
en,fuckingshitmotherfucker
en,fuckme
en,fucks
en,fucktards
en,fuckwhit
en,fuckwit
en,fudge packer
en,fudgepacker
en,fuk
en,fuker
en,fukker
en,fukkin
en,fuks
en,fukwhit
en,fukwit
en,fur fag
en,furfag
en,futanari
en,fux
en,fux0r
en,g-spot
en,gang bang
en,gangbang
en,gangbanged
en,gangbangs
en,gash
en,gay sex
en,gaylord
en,gaysex
en,genitals
en,giant cock
en,girl on
en,girl on top
en,girls gone wild
en,goatcx
en,goatse
en,god damn
en,god-dam
en,god-damned
en,goddam
en,goddamn
en,goddamned
en,gokkun
en,golden shower
en,goo girl
en,goodpoop
en,goregasm
en,grope
en,group sex
en,guro
en,hand job
en,handjob
en,hard core
en,hardcore
en,hardcoresex
en,hell
en,hentai
en,heshe
en,hoar
en,hoare
en,hoer
en,homo
en,homoerotic
en,honkey
en,hooker
en,hore
en,horniest
en,horny
en,hot carl
en,hot chick
en,hotsex
en,how to kill
en,how to murder
en,huge fat
en,humping
en,incest
en,intercourse
en,jack off
en,jack-off
en,jackoff
en,jail bait
en,jailbait
en,jap
en,jelly donut
en,jerk off
en,jerk-off
en,jigaboo
en,jiggaboo
en,jiggerboo
en,jism
en,jiz
en,jizm
en,jizz
en,juggs
en,kawk
en,kike
en,kinbaku
en,kinkster
en,kinky
en,knob
en,knobbing
en,knobead
en,knobed
en,knobend
en,knobhead
en,knobjocky
en,knobjokey
en,kock
en,kondum
en,kondums
en,kum
en,kummer
en,kumming
en,kums
en,kunilingus
en,l3i+ch
en,l3itch
en,labia
en,leather restraint
en,leather straight jacket
en,lemon party
en,livesex
en,lmfao
en,lolita
en,lovemaking
en,lust
en,lusting
en,m0f0
en,m0fo
en,m45terbate
en,ma5terb8
en,ma5terbate
en,make me come
en,male squirting
en,masochist
en,master-bate
en,masterb8
en,masterbat*
en,masterbat3
en,masterbate
en,masterbation
en,masterbations
en,masturbate
en,masturbating
en,masturbation
en,menage a trois
en,milf
en,minge
en,minger
en,missionary position
en,mo-fo
en,mof0
en,mofo
en,mothafuck
en,mothafucka
en,mothafuckas
en,mothafuckaz
en,mothafucked
en,mothafucker
en,mothafuckers
en,mothafuckin
en,mothafucking
en,mothafuckings
en,mothafucks
en,mother fucker
en,motherfuck
en,motherfucked
en,motherfucker
en,motherfuckers
en,motherfuckin
en,motherfucking
en,motherfuckings
en,motherfuckka
en,motherfucks
en,mound of venus
en,mr hands
en,muff
en,muff diver
en,muffdiving
en,munter
en,mutha
en,muthafecker
en,muthafuckker
en,muther
en,mutherfucker
en,n1gga
en,n1gger
en,nambla
en,nawashi
en,nazi
en,negro
en,neonazi
en,nig nog
en,nigg3r
en,nigg4h
en,nigga
en,niggah
en,niggas
en,niggaz
en,nigger
en,niggers
en,nimphomania
en,nipple
en,nipples
en,nob
en,nob jokey
en,nobhead
en,nobjocky
en,nobjokey
en,nsfw
en,nsfw images
en,nude
en,nudity
en,numbnuts
en,nutsack
en,nutten
en,nympho
en,nymphomania
en,octopussy
en,omorashi
en,one cup two girls
en,one guy one jar
en,orgasim
en,orgasims
en,orgasm
en,orgasms
en,orgy
en,p0rn
en,paedophile
en,paki
en,panties
en,panty
en,pawn
en,pecker
en,pedobear
en,pedophile
en,pegging
en,penis
en,penisfucker
en,phone sex
en,phonesex
en,phuck
en,phuk
en,phuked
en,phuking
en,phukked
en,phukking
en,phuks
en,phuq
en,piece of shit
en,pigfucker
en,pimpis
en,piss
en,piss pig
en,pissed
en,pisser
en,pissers
en,pisses
en,pissflaps
en,pissin
en,pissing
en,pissoff
en,pisspig
en,playboy
en,pleasure chest
en,pole smoker
en,ponyplay
en,poof
en,poon
en,poontang
en,poop
en,poop chute
en,poopchute
en,poopy mcpoop face
en,porn
en,porno
en,pornography
en,pornos
en,prick
en,pricks
en,prince albert piercing
en,pron
en,pthc
en,pube
en,pubes
en,punani
en,punany
en,pusse
en,pussi
en,pussies
en,pussy
en,pussys
en,queaf
en,queef
en,quim
en,raghead
